latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
22.67916,-104.75385,320.84,1.03,1.02,2022-04-22,1737,T,37,6.1NRT,308,7.3,D
22.37661,-104.58932,342.51,1.05,1.02,2022-04-22,1737,T,89,6.1NRT,306.17,38.72,D
22.37505,-104.5793,322.7,1.05,1.02,2022-04-22,1737,T,50,6.1NRT,307.28,8.31,D
21.98669,-104.33816,325.53,1.07,1.03,2022-04-22,1737,T,48,6.1NRT,313.56,9.22,D
21.04898,-100.50671,325.25,1.86,1.33,2022-04-22,1737,T,67,6.1NRT,308.01,22.63,D
21.77033,-105.14714,326.45,1.02,1.01,2022-04-22,1737,T,67,6.1NRT,308.26,15.4,D
21.26056,-102.1666,327.28,1.42,1.18,2022-04-22,1737,T,71,6.1NRT,309.71,13.84,D
21.58082,-104.93587,325.05,1.04,1.02,2022-04-22,1739,T,61,6.1NRT,311.66,11.39,D
21.42889,-104.25542,332.26,1.1,1.04,2022-04-22,1739,T,60,6.1NRT,314.64,17.59,D
20.57792,-101.17062,326.66,1.7,1.28,2022-04-22,1739,T,49,6.1NRT,307.95,20.76,D
20.58001,-101.17602,324.55,1.7,1.28,2022-04-22,1739,T,51,6.1NRT,308.21,15.33,D
